resume,job,label
"Python developer with machine learning and SQL","Looking for Python ML engineer",1
"Data analyst with SQL and Python","Hiring data analyst with SQL",1
"Frontend developer with HTML CSS JS","Looking for backend Python developer",0
"Marketing manager with SEO experience","Hiring data analyst",0
"Machine learning engineer with deep learning","Looking for ML engineer",1
"Graphic designer using Photoshop","Looking for data scientist",0
"Backend developer with Django and APIs","Hiring Python backend developer",1
"Sales executive with communication skills","Looking for software engineer",0
"AI engineer with NLP experience","Hiring AI/ML engineer",1
"Content writer with blogging experience","Looking for ML engineer",0